_id,Rank,Name,Rating,tagCount
65d0a2b567e0fa134945c8db,130,Mushishi: Hihamukage,4.32,6
65d0a2b567e0fa134945c8dc,131,Tokyo Revengers,4.31,12
65d0a2b567e0fa134945c8dd,132,My Hero Academia Movie 2: Heroes:Rising,4.31,6
65d0a2b567e0fa134945c8de,133,Fate/Zero 2,4.31,10
65d0a2b567e0fa134945c8df,134,My Hero Academia,4.31,11
65d0a2b567e0fa134945c8e0,135,Steins;Gate Movie: Load Region of Deja Vu,4.31,5
65d0a2b567e0fa134945c8e1,136,KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson,4.31,8
65d0a2b567e0fa134945c8e2,137,Yuri!!! on Ice,4.31,7
65d0a2b567e0fa134945c8e3,138,Dou Po Cangqiong: San Nian Zhi Yao,4.31,6
65d0a2b567e0fa134945c8e4,139,Dororo (2019),4.3,23
65d0a2b567e0fa134945c8e5,140,Bunny Drop,4.3,10
65d0a2b567e0fa134945c8e6,141,Gintama: Shinyaku Benizakura-hen,4.3,11
65d0a2b567e0fa134945c8e7,142,The Garden of Sinners Movie 5: Paradox Paradigm,4.3,12
65d0a2b567e0fa134945c8e8,143,Bakuman. 3,4.3,8
65d0a2b567e0fa134945c8e9,144,The Disastrous Life of Saiki K.,4.3,11
65d0a2b567e0fa134945c8ea,145,Given: Uragawa no Sonzai,4.3,2
65d0a2b567e0fa134945c8eb,146,Black Butler: Book of the Atlantic,4.3,11
65d0a2b567e0fa134945c8ec,147,The Boy and the Beast,4.3,9
65d0a2b567e0fa134945c8ed,148,Miss Kobayashi's Dragon Maid S,4.3,15
65d0a2b567e0fa134945c8ee,149,Kono Oto Tomare! 2nd Season,4.3,7
65d0a2b567e0fa134945c8ef,150,The Disappearance of Haruhi Suzumiya,4.3,6
65d0a2b567e0fa134945c8f0,151,Kizumonogatari Part 2: Nekketsu,4.29,7
65d0a2b567e0fa134945c8f1,152,Mushishi Zoku Shou: Suzu no Shizuku,4.29,7
65d0a2b567e0fa134945c8f2,153,Overlord III,4.29,13
65d0a2b567e0fa134945c8f3,154,Re:ZERO -Starting Life in Another World- Season 2: Part II,4.29,14
65d0a2b567e0fa134945c8f4,155,Laid-Back Camp 2nd Season,4.29,7
65d0a2b567e0fa134945c8f5,156,Saga of Tanya the Evil Movie,4.29,10
65d0a2b567e0fa134945c8f6,157,Mushishi Zoku Shou: Odoro no Michi,4.29,6
65d0a2b567e0fa134945c8f7,158,The Disastrous Life of Saiki K. 3,4.29,8
65d0a2b567e0fa134945c8f8,159,Hellsing Ultimate,4.29,25
65d0a2b567e0fa134945c8f9,160,Natsume's Book of Friends Season 5 Specials,4.29,11
65d0a2b567e0fa134945c8fa,161,JoJo's Bizarre Adventure Re-Edited,4.28,6
65d0a2b567e0fa134945c8fb,162,Parasyte -the maxim-,4.28,16
65d0a2b567e0fa134945c8fc,163,Hikari: Be My Light,4.28,11
65d0a2b567e0fa134945c8fd,164,Ouran High School Host Club,4.28,11
65d0a2b567e0fa134945c8fe,165,Food Wars! The Second Plate,4.28,9
65d0a2b567e0fa134945c8ff,166,Ghost in the Shell: Stand Alone Complex 2nd Gig,4.28,7
65d0a2b567e0fa134945c900,167,Barakamon,4.28,9
65d0a2b567e0fa134945c901,168,Noragami Aragoto,4.28,10
65d0a2b567e0fa134945c902,169,Ace of the Diamond: Act II,4.28,5
65d0a2b567e0fa134945c903,170,Re:ZERO -Starting Life in Another World- Season 2,4.28,15
