_id,avgEpisodes,avgRating
Pixel Soft,26,3.6
anima,1,3.1566666666666667
Tomovies,12.75,3.13
Dancing CG Studio,18.2,3.54
Gakken Eigakyoku,,
FILMONY,4,3.5766666666666667
Summer 2017,19.333333333333332,3.45
Studio Shelter,22,3.85
Summer 2009,26,2.9
Triangle Staff,8.15,3.2974193548387096
Nomad,10.65,3.3203225806451617
Studio Mir,1,3.915
Studio Chizu,,3.7514285714285713
Studio Unicorn,1,2.91
Simogumi,11.4,3.1
REMIC,12,3.42
Summer 2018,24,3.145
Summer 2020,15,2.98
Spring 2022,,
Monster's Egg,26,3.14
Build Up,1,2.39
Craftar,7.6,3.255714285714286
Grouper Productions,4.923076923076923,3.39
Studio Signal,2.3333333333333335,2.766666666666667
Tsumugi Akita Animation Lab,1,
Spring 1997,52,2.94
DLE,20.73049645390071,3.080842105263158
Trinet Entertainment,2,3.34
Soyep,36.3125,3.7906666666666666
Trash Studio,1.4,3.24
Summer 1996,140,
Spring 2001,48,3.165
BYMENT,19.333333333333332,3.7975
10GAUGE,10,3.5716666666666668
Winter 2012,40.5,2.76
Vasoon Animation,20,3.5500000000000003
MangoWork Studio,4,3.356666666666667
Digital Frontier,4.666666666666667,3.397
XEBEC M2,12,3.325
Diorama,1,3.1075
Studio Ranmaru,3,3.42
Yaoyorozu,10.4,2.9918181818181817
Kids,20,3.04
OTOIRO,,3.5
Akatsuki,,3.45
Nanjing Hongying Animation Entertainment,52,
Winter 2005,6.5,3.04
KeyEast,,3.21
PERIMETRON,,3.5
Brain's Base,12.485714285714286,3.6226595744680847
Magic Bus,10.444444444444445,3.29015625
Tama Production,1,3.4933333333333336
Frontline,7,3.0033333333333334
Tsuburaya Productions,26,3.1666666666666665
SLEE PRODUCTION,,
DMM.futureworks,18.428571428571427,3.26
Painting Dream,12.3,3.502
TIA,12,2.9050000000000002
Usagi Ou,15.833333333333334,3.2649999999999997
Spring 2009,39,3.135
Office DCI,12,3.24
MooGoo,2,3.075
W-Toon Studio,22.5,3.2842857142857147
Soeishinsha,1,2.32
Daichi Doga,39,3.135
Yumeta Company,8.142857142857142,3.387826086956522
Nippon Animation,39.53333333333333,3.440424242424242
Zhongce Picture,20,3.72
Animation Planet,13.5,3.2
Studio Junio,26.5,3.356875
Sunrise,24.416666666666668,3.502630434782609
Public and Basic,21,3.203333333333333
Charaction,12.166666666666666,3.024285714285714
AIC Build,8.333333333333334,3.6422222222222222
Winter 2013,52,3.3
Studio Dadashow,,3.48625
Pie in the sky,29.375,3.3909090909090907
Fall 1998,16,3.03
Tin House,,3.48
Daume,10.555555555555555,3.454
A-Real,10,2.9
8 Pan,20.636363636363637,3.7677777777777774
Sunshine Corporation,13,3.49
Spring 2004,30.333333333333332,2.9749999999999996
Spring 2006,101.75,3.48
Pb Animation,16,3.44
AIC PLUS+,9,3.1644444444444444
Nippon Animedia,41.25,3.16
LARX Entertainment,15.666666666666666,3.5033333333333334
Light Chaser Animation,1,3.5614285714285714
Studio Ponoc,,3.525
Mook Animation,6.5,3.06
Iyasakadou,12.666666666666666,3.22
Project Team Sara,1.5,3.1033333333333335
TRIGGER,11.428571428571429,3.4292307692307693
Agent 21,1.75,2.805
Spring 2002,34.666666666666664,3.29
Studio 88,1,2.6900000000000004
Yi Animation,55,
Computer Technique Group,,
Tonko House,,
Spring 2016,14.666666666666666,3.35
Studio Ghibli,1.6666666666666667,3.543529411764706
Rockwell Eyes,3,3.3899999999999997
Quebico,4,3.29
LandQ Studios,9.8,3.07125
Seven,11.481481481481481,3.0205128205128204
Spring 2013,27.714285714285715,3.0500000000000003
GONZO,15.438202247191011,3.3694262295081967
Bridge,18.4375,3.347272727272727
Fall 2003,26,3.38
Artland,16.235294117647058,3.4597872340425533
Morie,,3.465
Maho Film,12,3.722
Quad,,3.28
SIDO,1.3333333333333333,2.83
Studio Binzo,1,2.4875
IKIF,,2.99
Spring 2005,26,3.21
Stingray,32,2.9966666666666666
Tomoyasu Murata Company,1,3.3366666666666664
Rikuentai,2,2.9525
Ling San Wu Donghua,12.5,3.81
Studio Khronos,,3.24
Noside,8,3.17
Orange,7.222222222222222,3.603846153846154
Kitty Film Mitaka Studio,10,3.26
RG Animation Studios,41,2.964444444444444
Office Academy,,3.2
An DerCen,1.5,2.83
drop,11.333333333333334,2.61
AIC,7.549618320610687,3.3315384615384613
TMS Entertainment,27.963917525773194,3.5794219653179193
Cente Studio,1,2.68
Space Neko Company,12,3.3275
Risemore,13,2.3
Fall 2022,,
Tele-Cartoon Japan,40.7,3.2575000000000003
HiWaPlus,12,
CGCG Studio,4,3.39
Fall 2020,10.333333333333334,3.2975
hololive production,11.5,3.55
Summer 2014,8.666666666666666,3.3166666666666664
Yapiko Animation,1,3.33
Studio Pivote,,4.36
Fall 2018,5.4,3.2060000000000004
Ajia-do,19,3.4718518518518517
LIDEN FILMS,11.14,3.46
Studio Daisy,3,3.7
Shirogumi,12.5,3.290625
Alpha Group,31.454545454545453,3.535
LICO,11.25,3.6380000000000003
Spring 2012,18.5,3.175
CygamesPictures,11.5,3.5020000000000002
Barnum Laboratory,4.666666666666667,2.986666666666667
Winter 2015,,3.04
IANDA,,2.79
Winter 2010,50,3.39
Fukushima Gaina,7.25,3.0975
Studio Sakimakura,26,3.456666666666667
NUT,6.5,3.7899999999999996
Viewworks,6.5,2.8899999999999997
D'Art Shtajio,,
Fall 2019,77,3.45
Multi-Access Company,4,3.6
FUNNY MOVIE,,
Tatsunoko VCR,6,3.7
Live2D Creative Studio,1,3.24
Coastline Animation Studio,11.25,3.4133333333333336
Koo-Ki,7,2.8474999999999997
Lapiz,,3.57
Summer 2003,15,2.84
Bibury Animation CG,,
Winter 2022,,
Odd Job,32.5,3.4880000000000004
TYO Animations,10.4,3.5561764705882353
Tokyo Kids,19.571428571428573,3.2024
maxilla,,3.38
Summer 2001,13,
J.C.Staff,11.10909090909091,3.473016304347826
Ashi Productions,23.544117647058822,3.274022988505747
Trois Studio,,3.71
Ginga Teikoku,1.5,3.15
ark,9,3.06
Forest Hunting One,12,2.51
Mu Animation Studio,5,3.435
Dynamo Pictures,10,3.1933333333333334
Imagica Imageworks,9,2.7975000000000003
P.A. WORKS,13.827586206896552,3.5183673469387755
HuaMei Animation,1,
Studio VOLN,30,3.545
ARMS,7.871794871794871,3.188135593220339
Joicy Studio,13,3.8
The Answer Studio,57.22222222222222,3.481666666666667
Qi Ying Animation,14,3.21
Drawiz,13,1.93
Production +h,,
Hotline,12,2.73
Zero-G,12.722222222222221,3.3390476190476193
Studio Pastoral,2.5,3.77
Lide,12,2.885
Zexcs,12.020408163265307,3.288
Pastel,9,3.536363636363636
Studio Coa,1.5,3.1900000000000004
diomedea,9.659090909090908,3.486792452830189
OLM Digital,41.25,3.341111111111111
JCF,21.333333333333332,3.59
AXsiZ,12,3.001428571428572
Zero-G Room,5.3,3.143
Studio Lotus,1,
Studio! Cucuri,12,2.385
Ankama Animations,,3.69
FENZ,15.375,3.848333333333333
Khara,1.0333333333333334,3.3854999999999995
Hurray!,,3.4933333333333336
Oriental Creative Color,17.333333333333332,
GEMBA,9.8,3.442857142857143
Animation Do,12.333333333333334,4.028888888888889
Aubec,19.4,3.19
SHAFT,9.158536585365853,3.5545652173913047
Deck,1.5,3.34
Ruo Hong Culture,48.166666666666664,3.887826086956522
Delpic,4,
Actas,18.066666666666666,3.42125
Summer 2010,2.3333333333333335,3.41
2:10 Animation,15,3.6633333333333336
Geek Toys,13,3.435
W.Baba,26,3.29
Studio Comet,36.673469387755105,3.427758620689655
Gaina,11.6,3.5100000000000002
Picona Creative Studio,12,3.415
Kaeruotoko Shokai,3,3.465
Fortes,2,3.23
Team Till Dawn,24,3.65
Picograph,,3.37
D.A.S.T Corporation,3.6666666666666665,3.0966666666666662
Anpro,1.8,3.42
Nice Boat Animation,12,3.56
Fall 2004,13,3.33
ARTMIC Studios,2.2857142857142856,3.165714285714286
Office No. 8,3,2.58
Paper Plane,12,4.02
MAT,10,
EKACHI EPILKA,12,3.106666666666667
Studio Kyuma,12,2.99
Tsuchida Production,72.66666666666667,3.393333333333333
Azeta Pictures,47,3.44
Group TAC,33.44444444444444,3.32247311827957
Asahi Production,17.708333333333332,3.155666666666667
Urban Product,1,3.44
Fall 2011,7,2.94
Lapin Track,8,3.6275
Colored Pencil Animation Japan,6.5,3.865
Radix Ace Entertainment,18.74074074074074,3.163333333333333
V1 Studio,103,4.046666666666667
UWAN Pictures,5,2.9699999999999998
Colored Pencil Animation,8,3.9966666666666666
Millepensee,13.090909090909092,3.2
Studio Houkiboshi,,3.217142857142857
Nexus,12.2,3.5185714285714282
IKIF+,20.666666666666668,3.526666666666667
CoMix Wave Films,6.235294117647059,3.105151515151515
Studio Animal,8.5,3.565
Studio KAI,9.8,3.5519999999999996
Ascension,34.111111111111114,3.2654545454545456
Manglobe,10.12,3.6248387096774195
C2C,11.928571428571429,3.233888888888889
Winter 2021,17.375,3.2733333333333334
Joker Films,32,3.51
Doga Kobo,11.016129032258064,3.5120481927710845
Studio M2,7,3.563333333333333
Fall 2008,13,3.37
Fall 2013,16,2.8600000000000003
Super Normal Studio,10,3.1966666666666668
Spring 2017,65.5,3.0366666666666666
HS Pictures Studio,,3.06
Oxybot,2,3.2933333333333334
Summer 2013,13,3.3200000000000003
P.I.C.S.,13,3.4200000000000004
7DOC,22.428571428571427,3.6525
Lyrics,5.5,3.2100000000000004
Spring 2011,9.333333333333334,2.9466666666666668
PP Project,7,3.09
Village Studio,1,3.6
Jumonji,8,3.215
Magia Doraglier,10,2.745
Daiei,2,2.79
Makaria,1,2.78
Neft Film,1,2.545
IMOVE,52,3.165
Assez Finaud Fabric.,12.333333333333334,2.7640000000000002
Studio 4°C,5.648648648648648,3.170144927536232
A.P.P.P.,10.4375,3.3895000000000004
EMT Squared,12,3.08
Ja Regarde,1,3.35
JJJOY Animation Studios,12,
Sparkly Key Animation Studio,22,3.8245454545454547
Summer 2016,6,3.4
Fall 2015,6.4,3.008
Dangun Pictures,8.666666666666666,3.2466666666666666
indeprox,1,3.105
Kamikaze Douga,1,3.3175000000000003
Yamato Works,1,3.203333333333333
feel.,10.714285714285714,3.418833333333333
TWO WAIDEE,,3.33
Ordet,7.666666666666667,3.29125
Asura Film,3.25,3.2880000000000003
TANOsim,1,3.1550000000000002
Ryu Kato Film Works,,2.8033333333333332
Toei Animation,35.774566473988436,3.4477489177489176
monofilmo,12,3.95
Lesprit,13.75,3.5083333333333333
Taikong Works,18,3.6
Saigo no Shudan,1.3333333333333333,3.1075
helo,12.4,3.2659999999999996
POLYGON PICTURES,20.32,3.411904761904762
Spring 1995,,3.53
GAINAX Kyoto,6.5,3.2733333333333334
G-angle,3.2,3.112
Rising Force,12,2.6333333333333333
Summer 2008,16.666666666666668,2.62
TNK,8.470588235294118,3.2963636363636364
Tiger Animation,10,4.35
VSL,,2.99
NAZ,8.7,3.241333333333334
Fanworks,19.133333333333333,3.353783783783784
Wawayu Animation,11.285714285714286,3.6228571428571428
Motion Magic,12.875,4.142222222222222
Jinni's,16,3.2507692307692304
Shogakukan Music & Digital Entertainment,48,3.1846153846153844
Life Work,28,3.5175
Vega Entertainment,13.375,3.275
Fall 2016,14.2,3.242
Spring 2020,17,3.225
LX Animation Studio,16,3.68
acca effe,12,3.2133333333333334
Furifurisoshiki,,3.0414285714285714
Studio Gohan,,3.383
Lunch Box,6.5,2.62
AQUA ARIS,22.37037037037037,3.2789285714285716
Kyoto Animation,10.521739130434783,3.7174545454545456
Digital Network Animation,,3.15
LOGIC&MAGIC,11,3.03
Shinkuukan,2,2.82
asread,8.1,3.4403703703703705
Studio A-Cat,12.142857142857142,2.9954545454545456
Fever Creations,12,3.43
Picture Magic,12.642857142857142,3.085
Piso Studio,6.5,3.16
Nakamura Animation,23.5,3.21
David Production,18.275862068965516,3.7377499999999997
Studio Kajino,,2.776666666666667
Peak Hunt,3,2.8
Pandanium,12,3.33
TERADAMOKEI,1,2.586
Maten Animation,16.5,
Rabbit Gate,8,3.25
XEBEC,19.285714285714285,3.479401709401709
VENET,3.6,3.034
B.C MAY PICTURES,20.714285714285715,4.1899999999999995
Prima Linea Productions,,3.71
8-Bit,10.742857142857142,3.635918367346939
Felix Film,7.6,3.405
Original Force,7.333333333333333,3.9425
Studio Egg,54.333333333333336,3.11
AIC Classic,8,3.262857142857143
IMAGIN,11.5,3.07875
Studio OX,6.333333333333333,3.043333333333333
Ezo'la,12,3.573333333333333
Bones,16.275,3.7687857142857144
AtelierPontdarc,12,3.375
Studio Holhory,,
Dwarf,8.363636363636363,3.2984615384615386
TROYCA,14.125,3.833636363636364
Flat Studio,1,3.4783333333333335
LIDEN FILMS Osaka Studio,,3.075
Beijing Rocen,40.416666666666664,3.635
MMT Technology,13,3.3
AIC Spirits,11.764705882352942,3.3838888888888885
Sparky Animation,26,3.23
Minami Machi Bugyousho,2.5,2.895
Jade Animation,20.25,3.615
Tengu Kobou,12,2.585
Summer 2021,9.666666666666666,3.206666666666667
Winter 2019,38,3.43
Prime Time,2,3.5300000000000002
Echoes,1.3333333333333333,3.1671428571428573
Fall 1997,19.5,3.525
Fall 2010,7,3.15
Fall 2000,130,3.44
Enjin Productions,,3.35
Studio Gram,1,3.28
Trans Arts,21.125,3.1959999999999997
Office AO,5.5,3.245
Studio Elle,,
foodunited.,,
Okuruto Noboru,7,3.33
BigFireBird,13.5,3.63
Flying Ship Studio,,
G&G Entertainment,58.8,3.3866666666666667
Yamiken Studio,,3.54
Studio Matrix,7.25,2.948
ALBACROW,16,3.13
Team YokkyuFuman,6.5,3.19
Just,1,2.8
BEE TRAIN,20.428571428571427,3.436551724137931
Green Monster Team,12,3.5566666666666666
Marza Animation Planet,11.571428571428571,3.3249999999999997
Benlai Pictures,12,
production doA,6.5,3.42
Planet,19,3.254
Lerche,11.725,3.743333333333333
Paradise Cafe,,3.71
Studio Look,1,3.15
MASTER LIGHTS,12,2.64
Sunrise Beyond,13,3.5199999999999996
Winter 2020,3.5,3.09
Ishimori Productions,12,3.005
Mili Pictures,19,3.8350000000000004
Pierrot,35.439490445859875,3.4978111587982834
Anima&Co.,12,3.1933333333333334
Winter 2018,18,3.1366666666666667
GRIZZLY,1.5,3.766666666666667
Idea Factory,2.6363636363636362,2.505
E&G Films,21.333333333333332,3.295
Winter 2000,25.5,2.7800000000000002
Welz Animation Studios,1,
Silver,3,2.88
Mushi Production,42.53846153846154,3.2909803921568628
Gosay Studio,24,3.37
PPM,2.5,2.856666666666667
Platinum Vision,10.5,3.8362499999999997
Tezuka Productions,15.621621621621621,3.322307692307692
Spring 1998,19.5,3.5
Panda Factory,1,2.78
Sunwoo Entertainment,39,3.63
Studio Gazelle,3.6666666666666665,3.0033333333333334
I.Gzwei,12.666666666666666,3.645
Creators in Pack,9.2,3.0324
Bouncy,9.8,2.62
Sanrio,4.153846153846154,3.236756756756757
GAINAX,11.146341463414634,3.4339999999999997
Studio Nanahoshi,,3.61
Winter 2009,11,3.26
Summer 2004,24,2.87
Winter 2016,1,2.23
Geno Studio,9.285714285714286,3.795
Winter 2017,7.857142857142857,2.867142857142857
Pollyanna Graphics,13,3.263333333333333
V-sign,,
5th Avenue,,2.87
N-Design,13,3.04
Studio Fantasia,4,3.072222222222222
Irawiasu,8,3.29
Studio Palette,12,4.01
Steve N' Steven,15.25,3.282
Studio Rong,26,3.26
Polygon Magic,12,2.3
Studio 5,,
Domerica,9,3.0533333333333332
TriF Studio,2.5,3.425
ARECT,1,3.01
ANDo,15,
Thundray,9.666666666666666,3.5925
Eiken,97.55882352941177,3.4043902439024394
Studio Kafka,,3.93
Spring 2021,13.666666666666666,3.233333333333333
ENGI,12,3.4924999999999997
Visual Works,1,3.5439999999999996
ufotable,9.28,3.6619354838709675
Griot Groove,,3.61
aNCHOR,18,3.28
Studio Himalaya,,3.56
Fall 2021,9.75,3.376666666666667
Tecarat,1,3.3619999999999997
A.C.G.T,14.217391304347826,3.355161290322581
Sublimation,9.5,3.3425000000000002
Haoliners Animation League Korea,10,3.68
HOTZIPANG,4.666666666666667,3.282
Automatic Flowers Studio,,3.54
Yonago Gainax,,3.33
Ishikawa Pro,1,2.69
Caviar,,3.04
Tatsunoko Production,34.4051724137931,3.3542953020134227
Children’s Playground Entertainment,12.333333333333334,3.2275
Ekakiya,1,3.32
Kigumi,,2.67
Wolfsbane,12.5,3.2350000000000003
Anime R,1,2.92
Studio Kaab,25,
Studio Hibari,20.975609756097562,3.2796078431372546
Science SARU,14.428571428571429,3.6710000000000003
Imagica Lab.,6.5,2.85
Kent House,27,3.04
Jichitai Anime,1,
Chiptune,,3.4
Ginga-ya,12,3.35
OLM,37.84126984126984,3.4103734439834024
Pili International Multimedia,13,3.9519999999999995
Seven Arcs,12.857142857142858,3.536938775510204
Qualia Animation,,3.69
Bee Media,8.125,3.1149999999999998
REVOROOT,12,3.4275
Studio Giants,2,3.29
G.CMay Animation & Film,19.5,3.564
Typhoon Graphics,11.5,2.9033333333333338
Studio Zero,50,3.33
SANZIGEN,12.6,3.3870370370370373
Puzzle Animation Studio,52,3.6
SJNEXCUS,6,3.57
Mokai Technology,12,3.5500000000000003
St. Signpost,52,3.3857142857142857
Dongwoo A&E,45.714285714285715,3.595
Candy Box,12,3.49
ACC Production,13.5,2.9050000000000002
Liberty Animation Studio,,3.08
Studio Puyukai,11.347826086956522,3.2596296296296297
Tomason,106.66666666666667,3.373333333333333
Suspenders,,3.29
Bevore,1,2.8449999999999998
DURUFIX,,
Summer 2022,,
Winter 2007,11,
LMD,19,2.8966666666666665
Saetta,12,2.918
Fall 2002,24,2.71
PRA,12.666666666666666,3.395
Fall 2007,12,3.28
Gallop,79.2,3.4849180327868856
Kasuga Soft,12,2.36
Fall 2017,8.666666666666666,3.2133333333333334
A-Line,13,3.3166666666666664
Hoods Entertainment,6.612903225806452,3.1325
Visual 80,18.363636363636363,3.2176923076923076
Shuka,10.375,3.9699999999999998
Plum,14.833333333333334,3.0799999999999996
Winter 2011,4,3.29
Marine Entertainment,12,2.38
Synergy SP,30.214285714285715,3.516969696969697
Amber Film Works,19,3.09
Adonero,12,2.5999999999999996
Passione,12.428571428571429,3.349411764705882
Mimoid,,3.41
CG Year,22,3.8383333333333334
DandeLion Animation Studio,13.75,3.37
C-Station,11.1,3.5626666666666664
Directions,,3.74
Studio Sign,34,3.25
Buemon,12,3.02
Touyou Links,1,2.4
Dax Production,27.818181818181817,3.0727272727272723
WHITE FOX,14.565217391304348,3.7248780487804876
CyberConnect2 sai,,3.645
Pancake,,3.5
Big Bang,4.333333333333333,3.116666666666667
Fall 2006,11,2.823333333333333
Arcturus,6,2.46
Sakura Create,10,3.105
Foch,13.521739130434783,3.783913043478261
Zukan Lab,12.5,3.42
Encourage Films,9.4,3.182142857142857
MADHOUSE,18.51101321585903,3.5132102272727277
Fall 2012,11.333333333333334,3.0775
AIC Frontier,11,2.2133333333333334
Kinema Citrus,11.892857142857142,3.452051282051282
Studio Korumi,,3.28
Studio Colorido,1.4166666666666667,3.3904761904761904
Kelmadick,1,2.4
Shenying Animation,13.6,3.85
GARDEN,10.666666666666666,3.7300000000000004
Kokusai Eigasha,35.625,3.32
Daewon Media,25.6,3.14
Fall 2005,26,3.86
Graphinica,8.375,3.4814285714285718
ILCA,15.055555555555555,2.91
Frontier Works,1,3.145
Milky Cartoon,35.6,3.3233333333333337
Okinawa Gonzo,12,3.3
Animation 501,1,3.32
WIT Studio,11.4,3.7950000000000004
Seven Stone,14,3.306
